I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
0.5618218,17858544.0,-76.00727,20.265461,1.4767643,0.41003722,0.027578339,0.003843462,1.7400695,1633.4708,0.26036307,5.17985,501.21664,1.5610473,1.0101563,269.22568,74.79535
2.927783,151290560.0,0.0,1067.2653,1.8558123,0.16465832,0.12256194,0.0090699745,1.894066,713.12366,10.0,10.0,0.0,10.0,10.0,0.0,10.872322
5.1703725,245631070.0,-30784.17,5648.454,1.4773979,0.11641303,0.08419818,0.016399197,1.5015068,313.1152,2.5084915,5.285229,495.30408,0.2767784,7.805061,326.0918,5.092468
5.212082,126534930.0,1866.3165,1159.7048,2.2799284,0.37824655,0.08202499,0.010822635,2.4376538,805.19946,8.371393,9.561238,417.5699,9.462322,4.943057,254.91269,34.34708
0.84275025,20693900.0,1.364242e-12,12.707387,1.3015735,0.14167525,0.048740488,0.0026844146,1.3416001,1712.0486,10.0,10.0,1000.0,10.0,10.0,1000.0,38.60301
20.30207,279919500.0,-40014.33,4098.57,2.6994805,0.56486344,0.25593454,0.013742561,2.9878056,780.82324,7.509538,3.0147429,468.14148,3.9192398,5.703985,361.96472,32.534973
3.972269,116167850.0,16414.703,682.4433,2.5630898,0.5439477,0.08968871,0.008673506,2.8440707,1173.4108,2.1333144,5.962638,461.01926,2.831808,1.4516308,176.04994,36.969227
0.34012753,6969062.0,147.61618,2.2487586,0.6108377,0.049579654,0.032261286,0.002013183,0.62140536,1093.9331,4.8596263,0.15544403,213.51968,3.6987088,9.282146,341.99872,52.310635
2.764721,148812240.0,34749.79,2946.4326,1.4064608,0.19041759,0.06222098,0.015419511,1.4724617,330.91394,10.0,10.0,0.0,10.0,10.0,0.0,21.907227
5.46394,206235360.0,16374.015,2660.1628,1.9803807,0.35363626,0.11233556,0.012910766,2.137785,595.23914,4.7868357,3.4002573,215.1923,3.0239825,0.91021955,545.14343,40.266987
0.50451833,9335766.0,-1.364242e-12,32.3808,2.2561104,0.48631832,0.02644886,0.0063668806,2.5106387,1348.0792,10.0,10.0,0.0,10.0,10.0,0.0,19.471243
5.6318507,58605960.0,-5165.4062,203.48203,2.5774014,0.48118454,0.12633851,0.006553695,2.8000855,1502.7238,1.4214758,3.6254222,39.347492,4.6684694,8.665293,548.10675,32.00056
9.924725,104457784.0,0.0,1199.343,2.0904565,0.21804085,0.14955944,0.011372797,2.14961,634.393,10.0,10.0,0.0,10.0,10.0,0.0,11.75541
1.1194444,21781268.0,-968.3378,31.506712,1.0828251,0.22005558,0.05661092,0.0043758852,1.1923932,991.42426,6.9621487,5.921886,36.340595,1.6054122,6.710407,595.5845,79.41477
0.80066603,17246854.0,-501.79736,22.275654,1.5917678,0.39943904,0.04828019,0.0040573995,1.8286182,1609.0249,5.3822737,6.073617,769.8644,6.5571003,8.113695,299.3412,66.05635
1.2150083,19331594.0,2788.273,59.630634,1.7113451,0.14313981,0.047509123,0.0060700895,1.7427559,992.2833,10.0,10.0,1000.0,10.0,10.0,1000.0,19.832876
1.1108441,38422228.0,-3088.2483,58.55275,2.0161,0.30813247,0.046402097,0.0043294304,2.1354415,1729.8375,10.0,10.0,1000.0,10.0,10.0,1000.0,37.317623
1.1772659,60694384.0,4992.151,290.9542,2.1743176,0.25424868,0.043522283,0.0075972592,2.25118,1028.1871,3.4063015,1.367005,572.1191,3.4063015,1.367005,572.1191,25.267378
18.784275,324818560.0,-165451.58,18690.812,2.290056,0.27765793,0.10519972,0.026254687,2.3769002,313.34106,10.0,10.0,0.0,10.0,10.0,0.0,12.265756
